관광지명,주소,위도,경도,전화번호,콘텐츠ID,카테고리,관광지코드,지역코드
가나돈까스의집,서울특별시 강남구 언주로 608,37.5099674377,127.0377755568,,2871024,A05020100,39,1
가나아트센터,서울특별시 종로구 평창30길 28,37.6122099878,126.9751811398,,129854,A02060500,14,1
가나안약국,서울특별시 강남구 도산대로 113(신사동),37.5170635319,127.0208657845,,2899721,A04011000,38,1
가네시 롯데본점,서울특별시 중구 남대문로 81,37.5647822864,126.9817485525,,2928947,A04011000,38,1
가넷옴므,서울특별시 금천구 디지털로 185 (가산동),37.4782600918,126.8872262708,,3306525,A04011000,38,1
가담,서울특별시 강남구 언주로167길 35 (신사동),37.5264209476,127.0302729961,,2869760,A05020400,39,1
가든파이브라이프(Garden5life),서울특별시 송파구 충민로 66 (문정동),37.4776672007,127.1249768726,,732484,A04011200,38,1
가락골마산아구찜,서울특별시 송파구 송이로19길 3,37.4975120620,127.1217599348,,2757617,A05020100,39,1
가락관광호텔,서울특별시 송파구 송파대로28길 5,37.4966565128,127.1166298703,02-400-6641~3,142785,B02010100,32,1
가락농수산물종합도매시장,서울특별시 송파구 양재대로 932,37.4960925880,127.1109831778,02-3435-1000,132215,A04010200,38,1
가락몰,서울특별시 송파구 양재대로 932 (가락동),37.4960786971,127.1107693087,,2757647,A04010600,38,1
가락몰 빵축제 전국빵지자랑,서울특별시 송파구 양재대로 932 (가락동),37.4960786971,127.1107693087,02-3435-0286,3113671,A02070200,15,1
가락수산시장,서울특별시 송파구 양재대로 932,37.4961564700,127.1110192841,,2757640,A04010200,38,1
가락옥토버페스트 캠핑축제,서울특별시 송파구 양재대로 932 (가락동),37.4960786971,127.1107693087,02-3435-0455,3379778,A02070200,15,1
가람국시,서울특별시 강남구 언주로135길 13,37.5168415735,127.0341090296,,2871443,A05020100,39,1
가람화랑,서울특별시 종로구 인사동10길 11 (관훈동),37.5743368010,126.9856284839,,129898,A02060500,14,1
가리봉시장,서울특별시 구로구 우마3길 19,37.4817874979,126.8893759759,,2758198,A04010200,38,1
가마골,서울특별시 강동구 고덕로38길 63,37.5517283673,127.1427398175,02-3426-6460,2685271,A05020100,39,1
가마로강정 신길삼거리,서울특별시 영등포구 영등포로64길 11,37.5142453371,126.9172780766,02-849-9288,2682774,A05020100,39,1
가막골흑염소요리전문점,서울특별시 강서구 화곡로56길 37-11,37.5516842628,126.8518857611,,2849631,A05020100,39,1
가문,서울특별시 강북구 노해로 13,37.6368246468,127.0226983297,02-990-0107,1052741,A05020400,39,1
가미분식,서울특별시 서대문구 이화여대8길 2,37.5587101279,126.9459519870,02-364-3948,2685272,A05020100,39,1
가미성형외과,서울특별시 강남구 테헤란로105 13층,37.4987019129,127.0285433827,,2918688,A04011000,38,1
가미우동,서울특별시 마포구 홍익로2길 23,37.5547407496,126.9238735556,02-322-3302,2679033,A05020300,39,1
가버 현대가든파이브,서울특별시 송파구 충민로66 2층,37.4776672007,127.1249768726,,2924584,A04011000,38,1
가버 현대동대문,서울특별시 중구 장충단로13길 20,37.5687878415,127.0076821872,,2905752,A04011000,38,1
가산물갈비&백년불고기,서울특별시 금천구 가산디지털1로 128 에스티엑스브이타워,37.4773045854,126.8837682791,,2836567,A05020100,39,1
가야밀냉면해물칼국수,서울특별시 은평구 대서문길 36,37.6555794652,126.9485378950,,2873184,A05020100,39,1
가야성,서울특별시 중구 을지로9길 6,37.5665544247,126.9885339952,02-2267-3939,2685273,A05020400,39,1
가양칼국수버섯매운탕,서울특별시 영등포구 국제금융로 78 홍우빌딩,37.5209253677,126.9313127207,,2850213,A05020100,39,1
