name,rating,category,address,source,region
해주냉면,3.5,냉면,"서울 송파구 백제고분로7길 8-16 1층
(지번) 잠실동 195-9",kakaomap,서울
해담채 강남점,3.9,한정식,"서울 강남구 논현로85길 70 역삼823빌딩 지하1층
(지번) 역삼동 823-16",kakaomap,서울
농민백암순대 본점,4.5,국밥,"서울 강남구 선릉로86길 40-4 알앤지타운 1층
(지번) 대치동 896-33",kakaomap,서울
명동교자 본점,3.5,분식,"서울 중구 명동10길 29 1층
(지번) 명동2가 25-36",kakaomap,서울
명인밥상,3.6,한정식,"서울 송파구 송이로 157 지하1층
(지번) 가락동 124-21",kakaomap,서울
대가방 본점,3.2,중국요리,"서울 강남구 봉은사로 333 1층 101~102호
(지번) 논현동 278-4",kakaomap,서울
아방궁,3.7,중국요리,"서울 강남구 역삼로1길 18 2층
(지번) 역삼동 831-32",kakaomap,서울
진주회관,3.3,국수,"서울 중구 세종대로11길 26 1층
(지번) 서소문동 120-35",kakaomap,서울
파이프그라운드 한남,3.9,피자,"서울 용산구 한남대로27길 66 지하1층
(지번) 한남동 727-21",kakaomap,서울
갯마을 한강로점,3.2,한식,"서울 용산구 서빙고로 56 1층
(지번) 한강로3가 65-550",kakaomap,서울
오죽이네,4.2,닭요리,"서울 종로구 돈화문로11가길 25
(지번) 익선동 156",kakaomap,서울
명동교자 이태원점,3.9,분식,"서울 용산구 녹사평대로 136
(지번) 이태원동 34-149",kakaomap,서울
핏제리아오,4.6,피자,"서울 종로구 동숭길 86 2-3층
(지번) 동숭동 31-37",kakaomap,서울
만배아리랑,4.0,"족발,보쌈","서울 강서구 화곡로18길 24 강서뉴타워 1층 111,113호
(지번) 화곡동 1071-19",kakaomap,서울
진중 우육면관 본점,4.4,중식,"서울 종로구 청계천로 75-2 1-2층
(지번) 관철동 11-11",kakaomap,서울
해운대암소갈비집,3.2,갈비,"부산 해운대구 해운대해변로 333 1층
(지번) 중동 1225-1",kakaomap,부산
이재모피자 본점,4.4,피자,"부산 중구 광복중앙로 31 중앙아파트 상가 2층
(지번) 신창동1가 2-1",kakaomap,부산
합천일류돼지국밥 사상점,3.5,국밥,"부산 사상구 광장로 34 1층
(지번) 괘법동 565-6",kakaomap,부산
영진돼지국밥 본점,4.3,국밥,"부산 사하구 하신번영로157번길 39 1층
(지번) 신평동 628-6",kakaomap,부산
본전돼지국밥,3.5,국밥,"부산 동구 중앙대로214번길 3-8 1층
(지번) 초량동 1200-6",kakaomap,부산
초량밀면,3.3,국수,"부산 동구 중앙대로 225 1층
(지번) 초량동 363-2",kakaomap,부산
모모스커피 부산본점,4.3,커피전문점,"부산 금정구 오시게로 20 1층
(지번) 부곡동 873-98",kakaomap,부산
수변최고돼지국밥 민락본점,4.1,국밥,"부산 수영구 광안해변로370번길 9-32 1층
(지번) 민락동 110-54",kakaomap,부산
풍원장시골밥상집,2.6,한식,"부산 기장군 기장읍 기장해안로 250 1층
(지번) 기장읍 시랑리 108-7",kakaomap,부산
언양불고기 부산집,3.5,"불고기,두루치기","부산 수영구 남천바다로 32 1층
(지번) 남천동 3-9",kakaomap,부산
해목,4.1,일식,"부산 해운대구 구남로24번길 8 1층
(지번) 우동 542-30",kakaomap,부산
거대갈비,4.2,갈비,"부산 해운대구 달맞이길 22
(지번) 중동 1139-4",kakaomap,부산
금수복국 해운대본점,3.9,복어,"부산 해운대구 중동1로43번길 23 1-3층
(지번) 중동 1394-65",kakaomap,부산
오복돼지국밥,4.1,국밥,"부산 해운대구 구남로 15 1층
(지번) 우동 618-13",kakaomap,부산
국제밀면 본점,3.9,국수,"부산 연제구 중앙대로1235번길 23-6 1층
(지번) 거제동 242-23",kakaomap,부산
동아식당,3.3,국수,"대구 중구 국채보상로125길 14 1층
(지번) 공평동 10-1",kakaomap,대구
리안,4.0,중국요리,"대구 수성구 교학로4길 48 1층
(지번) 만촌동 855-18",kakaomap,대구
테라스스시뷔페,3.3,해산물뷔페,"대구 달서구 와룡로 169 대우월드마크웨스트앤드 103동 상가 2층
(지번) 감삼동 461",kakaomap,대구
샤브20 수성못점,3.4,샤브샤브,"대구 수성구 무학로 83
(지번) 두산동 175-1",kakaomap,대구
가원식당,4.5,한식,"대구 동구 팔공산로199길 6-3 1-2층
(지번) 용수동 35-1",kakaomap,대구
미성당납작만두 본점,2.8,분식,"대구 중구 명덕로 93 1층
(지번) 남산동 2267-34",kakaomap,대구
군위이로운한우,3.6,"육류,고기","대구 군위군 효령면 간동유원지길 14
(지번) 효령면 성리 715-1",kakaomap,대구
앞산주택,3.8,이탈리안,"대구 남구 현충로1길 16 1-2층
(지번) 대명동 526-32",kakaomap,대구
광명반점,3.8,중식,"대구 북구 칠성로 70-1 1층
(지번) 칠성동2가 350-20",kakaomap,대구
르폴뒤,3.8,디저트카페,"대구 중구 동성로1길 26
(지번) 덕산동 124-29",kakaomap,대구
금이옥,4.4,갈비,"대구 중구 국채보상로143길 2
(지번) 동인동4가 71",kakaomap,대구
헤이마,3.8,디저트카페,"대구 동구 파계로 573 1-2층
(지번) 중대동 525",kakaomap,대구
옹기보리밥곤지곤지 앞산점,3.8,한식,"대구 남구 앞산순환로 465-1
(지번) 대명동 540-19",kakaomap,대구
신라식당,3.8,한식,"대구 중구 중앙대로 406-10 1층
(지번) 남일동 90",kakaomap,대구
미남장어 수성점,3.8,장어,"대구 수성구 들안로 56
(지번) 두산동 138-11",kakaomap,대구
조양방직,3.4,갤러리카페,"인천 강화군 강화읍 향나무길5번길 12 1층
(지번) 강화읍 신문리 587",kakaomap,인천
마니산산채,3.6,한식,"인천 강화군 화도면 해안남로 1182
(지번) 화도면 사기리 391",kakaomap,인천
